city_name,seismic_level,risk_percent
Austin,2,28.80
Albuquerque,1,72.57
Orlando,4,99.75
Riverside,2,46.25
Columbus,3,54.90
Orlando,4,66.14
Albuquerque,3,48.22
Wichita,3,75.63
New Orleans,5,43.98
Charlotte,4,47.59
Jacksonville,1,88.22
Bakersfield,1,64.36
Memphis,5,41.07
Nashville,5,16.79
Riverside,2,12.26
Boston,4,15.85
Seattle,5,44.47
Irvine,4,79.21
Washington,1,73.31
Anchorage,4,34.66
Wichita,4,51.71
Irvine,4,75.10
Indianapolis,1,56.88
Houston,1,88.03
Santa Ana,2,30.61
Charlotte,2,34.41
Tucson,2,75.56
Los Angeles,2,60.90
Phoenix,1,78.51
St. Louis,3,58.86
Chicago,5,11.26
Charlotte,1,93.78
El Paso,2,29.92
Riverside,2,50.32
Kansas City,4,
Lincoln,5,91.54
Los Angeles,4,28.25
Sacramento,2,59.81
San Francisco,1,21.19
Toledo,4,62.81
Baltimore,5,24.94
San Diego,2,78.94
Fort Wayne,4,13.49
Fresno,3,
Henderson,2,56.77
Los Angeles,2,53.75
Jersey City,4,65.61
Honolulu,1,43.30
Nashville,3,53.27
El Paso,1,85.91
Austin,1,78.23
Boston,1,51.17
Dallas,1,78.59
El Paso,3,
Wichita,1,16.98
Bakersfield,3,51.82
Las Vegas,3,56.54
Miami,2,44.29
Oklahoma City,5,17.17
Toledo,3,56.80
El Paso,2,69.95
San Jose,1,81.24
New York,3,17.88
San Jose,1,12.14
Sacramento,2,61.07
Aurora,2,15.14
Orlando,2,26.36
Colorado Springs,4,18.46
Henderson,1,65.52
Boston,3,88.58
Austin,5,93.48
Honolulu,1,
San Jose,2,50.02
Jersey City,3,49.52
San Jose,3,
Orlando,2,
Phoenix,3,90.22
Henderson,4,30.44
Milwaukee,1,17.47
Tampa,2,20.65
Memphis,3,58.45
Anaheim,5,68.10
Wichita,4,24.56
Corpus Christi,3,
Stockton,2,65.00
Baltimore,1,48.31
Detroit,3,75.04
Oakland,4,77.61
Sacramento,3,34.50
Arlington,5,42.25
El Paso,1,46.95
Fort Worth,1,35.55
San Jose,1,28.90
Tucson,5,98.07
Tulsa,4,94.42
Toledo,2,68.52
St. Petersburg,4,
Durham,3,89.75
Milwaukee,5,57.46
Oklahoma City,3,82.65
Albuquerque,3,
Newark,5,65.93
San Diego,3,20.63
Oakland,2,92.11
Seattle,4,40.50
Fort Wayne,3,73.09
Philadelphia,5,
Kansas City,1,30.22
Tampa,5,77.78
Minneapolis,1,32.24
Wichita,1,36.77
Sacramento,5,23.81
Plano,4,65.68
Houston,2,61.56
Henderson,5,98.98
Miami,4,
Jacksonville,5,23.32
Laredo,4,14.46
Long Beach,2,79.91
Riverside,3,36.44
Los Angeles,2,91.77
Las Vegas,5,14.37
Memphis,3,
Houston,2,
Nashville,1,92.78
Lexington,1,24.12
Mesa,1,48.99
Minneapolis,5,12.02
Sacramento,5,14.93
Newark,1,93.70
Honolulu,4,88.45
San Antonio,1,64.68
Fort Wayne,5,50.98
Charlotte,2,17.89
Oklahoma City,4,92.96
Kansas City,4,41.92
Oakland,4,
Henderson,4,34.19
Riverside,3,72.50
Detroit,3,
Phoenix,3,73.19
Plano,2,89.76
Atlanta,1,81.81
Henderson,1,78.50
Oakland,5,26.51
Cleveland,5,15.99
San Diego,3,
Fresno,4,41.09
Arlington,3,32.97
Stockton,3,34.50
Milwaukee,5,
Pittsburgh,4,78.40
Columbus,3,55.80
Detroit,1,70.49
Tampa,2,76.37
Milwaukee,1,28.59
Honolulu,1,70.28
Jersey City,2,82.08
Lexington,1,15.53
Boston,2,61.00
Charlotte,1,18.65
Anchorage,1,22.66
Las Vegas,2,81.03
Mesa,3,57.47
Miami,1,62.23
Plano,3,87.64
Washington,5,94.06
Henderson,4,79.76
Mesa,3,85.89
Laredo,1,18.34
Stockton,5,10.31
Phoenix,5,84.04
Indianapolis,3,65.15
Bakersfield,4,85.96
Long Beach,5,70.77
Wichita,4,93.80
Anaheim,3,11.74
Tampa,5,86.64
Jersey City,2,45.23
Memphis,2,71.67
El Paso,4,47.19
Columbus,1,27.50
Los Angeles,4,38.65
Henderson,1,25.18
Chicago,4,64.21
Durham,2,46.22
Newark,1,24.91
Tampa,3,82.78
San Francisco,1,12.39
New York,3,
Fresno,2,
Phoenix,3,69.71
Omaha,5,26.62
Atlanta,3,19.74
St. Petersburg,1,69.91
Washington,3,81.59
Boston,3,22.81
Chula Vista,4,59.18
Pittsburgh,1,43.92
Houston,4,96.43
Arlington,4,77.85
San Diego,4,16.16
Philadelphia,2,41.77
Washington,2,38.05
Aurora,3,12.88
New York,2,93.06
Toledo,5,25.72
Nashville,5,42.63
Laredo,4,33.79
Los Angeles,1,38.65
Saint Paul,2,68.44
Houston,5,26.32
Jacksonville,3,88.56
Virginia Beach,3,73.13
Detroit,3,34.33
Toledo,4,55.29
Henderson,4,28.09
Cleveland,5,
Mesa,2,67.21
Miami,4,84.10
Baltimore,5,81.65
Seattle,5,28.31
Seattle,1,19.55
Colorado Springs,2,
Baltimore,4,45.45
Columbus,3,19.20
New Orleans,1,85.49
Los Angeles,4,21.39
Cleveland,3,12.02
Fort Wayne,2,23.70
Cleveland,3,
Anchorage,2,70.56
Chicago,5,
Pittsburgh,5,94.52
Colorado Springs,1,71.40
Washington,5,86.99
Albuquerque,5,27.41
Las Vegas,5,86.38
Austin,5,67.17
Lexington,3,65.76
New York,3,16.41
Bakersfield,2,40.49
Omaha,1,24.46
Albuquerque,1,59.01
Baltimore,4,50.74
Durham,3,97.57
San Antonio,2,89.46
Santa Ana,4,68.77
Durham,4,25.95
San Jose,3,26.49
Oklahoma City,3,87.36
Chula Vista,1,
Nashville,5,29.30
New Orleans,3,29.90
Minneapolis,3,89.61
Houston,4,68.25
Anchorage,3,82.05
Detroit,3,36.64
Los Angeles,2,
Dallas,2,
Durham,1,87.12
Bakersfield,5,89.99
Washington,3,97.93
Louisville,1,27.60
Louisville,5,88.20
Toledo,5,20.14
Las Vegas,2,92.31
Laredo,2,50.60
Omaha,5,90.53
Milwaukee,1,70.04
Cincinnati,4,
Fort Worth,2,24.27
Oakland,2,87.09
Greensboro,3,92.89
Columbus,3,27.30
Toledo,3,
Tampa,5,77.74
Detroit,1,50.53
San Jose,1,57.77
Irvine,4,33.31
Mesa,3,
Oakland,2,33.02
Colorado Springs,1,25.84
El Paso,1,87.69
Fresno,4,73.37
San Antonio,1,38.37
Toledo,5,27.98
New Orleans,1,26.57
Jersey City,5,97.99
Los Angeles,1,96.69
Orlando,1,16.69
San Diego,3,28.42
St. Louis,3,66.57
Baltimore,3,
El Paso,4,23.66
Fresno,1,57.68
Jacksonville,5,87.88
St. Louis,3,85.87
Santa Ana,5,22.92
Baltimore,2,
El Paso,5,29.06
Riverside,2,89.54
Wichita,2,97.17
Lincoln,5,19.33
Long Beach,4,38.85
Oakland,4,81.61
Wichita,1,15.83
Oakland,1,69.94
Charlotte,1,61.95
Denver,4,46.82
Cleveland,5,
Orlando,1,63.24
Fort Worth,2,13.33
Fort Worth,3,15.96
Colorado Springs,3,57.76
New Orleans,1,77.49
Baltimore,3,44.57
Minneapolis,2,46.49
Virginia Beach,2,74.36
Stockton,2,56.51
New Orleans,1,
St. Louis,5,71.47
Baltimore,1,58.60
St. Petersburg,4,60.81
Milwaukee,1,89.91
Chula Vista,3,12.00
San Francisco,2,
Chicago,1,77.92
Albuquerque,1,22.86
El Paso,4,53.16
Saint Paul,2,86.19
Fort Worth,5,33.67
Stockton,1,
New Orleans,1,84.56
Riverside,5,21.52
Charlotte,1,
Honolulu,2,68.52
Louisville,4,15.21
Lincoln,3,48.19
Oakland,3,24.71
Anchorage,4,
Santa Ana,2,38.75
Milwaukee,1,42.39
Irvine,2,60.37
Tampa,4,73.19
Saint Paul,3,33.20
Portland,4,53.28
Newark,3,25.07
Irvine,2,19.10
Phoenix,3,67.10
Pittsburgh,1,30.68
El Paso,2,67.72
Mesa,4,11.97
Corpus Christi,4,26.74
New Orleans,1,91.05
Irvine,4,15.51
El Paso,4,63.57
Sacramento,1,88.83
Tampa,5,64.56
New York,2,
Greensboro,2,63.54
Detroit,2,73.08
Omaha,5,44.30
Columbus,1,76.02
Henderson,4,51.30
Mesa,4,68.62
Portland,2,19.17
Riverside,5,31.29
Chicago,2,59.72
Wichita,4,10.48
Miami,1,75.89
Memphis,5,21.57
Irvine,1,22.82
Denver,5,40.24
Durham,3,86.69
Fresno,2,31.64
Oakland,5,32.75
St. Louis,2,71.72
Tulsa,3,93.92
St. Petersburg,2,86.24
Riverside,1,17.68
Washington,5,20.18
Denver,1,58.34
Lexington,2,43.73
Boston,4,63.99
Mesa,5,35.61
Saint Paul,4,10.92
Omaha,4,84.90
New Orleans,1,86.61
Albuquerque,5,96.80
Arlington,5,86.05
Portland,1,96.12
Baltimore,5,52.00
Sacramento,2,33.67
Tulsa,1,22.00
Portland,2,25.58
Albuquerque,1,64.70
Kansas City,2,47.82
Saint Paul,2,91.10
Albuquerque,1,28.23
Nashville,1,15.85
Detroit,4,82.33
Philadelphia,4,67.18
Cincinnati,3,73.86
Honolulu,1,10.67
Chula Vista,2,76.55
Tampa,5,38.45
Durham,4,55.88
Louisville,4,25.40
Santa Ana,4,99.76
Phoenix,2,31.27
Cleveland,5,63.95
Stockton,1,18.58
Washington,5,20.42
Wichita,4,
Tulsa,2,47.31
Tampa,4,15.28
Anchorage,2,76.99
Long Beach,1,66.96
Fort Worth,1,42.25
Saint Paul,4,26.87
Corpus Christi,1,19.90
Stockton,5,66.84
Louisville,3,42.32
Los Angeles,1,44.01
Albuquerque,5,
Portland,2,96.17
New York,3,56.20
Milwaukee,4,63.73
Virginia Beach,1,53.41
Colorado Springs,3,85.28
Raleigh,4,95.28
Henderson,1,57.29
Honolulu,4,25.33
Tulsa,1,43.09
Seattle,5,88.66
Boston,3,47.28
Corpus Christi,2,
Arlington,5,
Cincinnati,5,78.54
Oklahoma City,1,19.74
Las Vegas,5,
Laredo,2,91.44
Tucson,5,53.88
Houston,3,
Sacramento,2,62.51
Pittsburgh,4,11.02
Phoenix,3,27.84
Raleigh,5,95.17
Newark,4,62.43
San Jose,4,60.05
Milwaukee,5,
Los Angeles,3,
Orlando,5,95.67
Louisville,5,
Toledo,4,16.42
Louisville,3,14.93
St. Louis,1,48.51
Austin,2,93.13
Los Angeles,4,31.60
Oklahoma City,5,75.62
Seattle,4,41.82
Plano,3,74.25
Sacramento,2,
San Francisco,1,60.17
St. Louis,2,47.15
Miami,1,17.89
Tulsa,1,83.82
Honolulu,3,47.52
Cincinnati,4,23.61
Columbus,5,76.64
Toledo,1,84.50
Seattle,5,48.83
Chula Vista,3,29.88
Mesa,1,82.07
Cleveland,5,23.59
El Paso,3,55.43
Kansas City,5,27.79
Houston,2,32.45
Plano,5,45.60
Minneapolis,4,25.28
Kansas City,4,40.45
Portland,3,52.36
Louisville,5,74.57
Saint Paul,1,30.12
San Jose,5,73.95
Durham,3,80.23
Atlanta,5,94.25
Corpus Christi,4,65.57
Los Angeles,3,71.33
Atlanta,3,28.56
Los Angeles,5,91.69
Mesa,4,77.47
Cleveland,4,86.96
San Francisco,1,76.15
Oklahoma City,1,96.12
Aurora,4,53.96
Virginia Beach,1,52.24
Greensboro,3,53.23
Charlotte,5,15.35
Chula Vista,3,79.20
Tampa,1,98.52
Sacramento,3,23.20
Newark,2,89.66
Toledo,4,49.62
Cleveland,2,84.99
Detroit,1,
Kansas City,2,11.88
Oakland,5,72.82
Long Beach,4,34.86
Chula Vista,2,94.19
Sacramento,3,58.36
Colorado Springs,2,99.22
Henderson,1,
Anaheim,1,16.48
San Francisco,3,37.21
Baltimore,1,36.75
Oakland,2,60.69
San Antonio,3,96.04
Dallas,5,45.12
Washington,4,53.66
Los Angeles,5,45.60
Chicago,2,42.11
El Paso,3,22.71
Miami,1,57.02
Riverside,5,13.93
Los Angeles,5,19.98
Portland,4,17.19
Riverside,2,40.95
Saint Paul,2,
Anchorage,1,99.08
Riverside,3,55.54
Orlando,4,28.54
Albuquerque,4,55.64
Anchorage,5,43.39
Albuquerque,5,64.13
Cleveland,3,59.68
Tucson,5,87.85
Irvine,4,37.44
Stockton,5,66.70
Tucson,4,46.69
Chicago,1,11.57
Los Angeles,2,62.60
Henderson,2,21.80
Chula Vista,3,
Corpus Christi,2,12.86
Arlington,4,74.31
Jersey City,4,14.48
Orlando,3,76.79
Toledo,4,
Austin,5,49.95
Tulsa,2,86.21
Honolulu,3,83.43
Mesa,3,85.40
Stockton,4,
Tucson,5,
Bakersfield,3,63.94
Raleigh,1,66.94
Newark,2,93.42
Washington,1,85.70
Irvine,5,47.44
Aurora,2,70.07
Riverside,3,86.38
Cincinnati,3,34.76
Bakersfield,5,97.06
Baltimore,5,50.74
Orlando,1,40.72
Boston,1,90.64
Minneapolis,5,32.10
Raleigh,4,16.61
Philadelphia,2,56.50
Lincoln,1,
Omaha,2,79.69
Sacramento,1,41.99
Fort Worth,3,75.17
Lexington,1,33.27
Austin,1,69.15
Corpus Christi,2,63.30
Colorado Springs,4,13.98
Louisville,1,71.24
Los Angeles,2,64.11
Albuquerque,5,15.68
Plano,3,88.77
Nashville,1,23.14
Memphis,4,80.40
San Antonio,4,27.92
Los Angeles,3,69.50
Baltimore,1,98.86
Orlando,4,33.57
Irvine,2,22.42
Raleigh,4,97.42
Mesa,5,
Columbus,3,86.68
Cleveland,1,74.97
Chula Vista,1,76.83
Washington,2,45.24
Riverside,2,89.91
Chicago,3,67.94
Durham,2,76.01
Arlington,2,28.13
Atlanta,4,26.00
New York,2,23.18
Santa Ana,2,
Jersey City,3,27.20
Dallas,1,48.08
Anaheim,5,10.26
Oklahoma City,3,27.29
Jacksonville,1,36.52
Plano,1,36.70
Raleigh,5,12.28
Denver,2,84.08
Oklahoma City,1,55.49
Aurora,4,18.98
Louisville,2,40.64
San Antonio,2,65.75
Columbus,4,
Los Angeles,1,67.78
Dallas,5,36.43
Fort Worth,3,76.34
Columbus,1,43.76
Plano,4,
New Orleans,4,13.44
Oklahoma City,5,72.24
Dallas,1,93.54
Albuquerque,3,11.31
San Francisco,1,29.66
Orlando,2,75.89
Corpus Christi,5,
San Antonio,5,
St. Petersburg,5,
Albuquerque,4,60.75
Los Angeles,2,24.33
Tampa,4,11.12
Houston,5,79.99
New Orleans,1,23.63
Oakland,3,19.31
Bakersfield,3,46.75
Corpus Christi,4,31.64
Dallas,2,29.49
Greensboro,4,54.03
Durham,5,62.66
Cleveland,1,86.77
Cleveland,3,25.88
Cleveland,1,66.56
Baltimore,1,65.74
Raleigh,5,62.08
Las Vegas,5,87.51
Oklahoma City,2,94.14
Memphis,3,57.90
Miami,4,89.69
Fort Worth,4,69.24
Milwaukee,4,74.41
Anaheim,2,61.88
Seattle,4,76.14
Memphis,4,
Tampa,2,85.62
Detroit,4,75.87
Charlotte,4,
Detroit,1,13.33
Saint Paul,4,28.53
Austin,1,
Memphis,3,92.77
Louisville,3,22.87
Toledo,5,83.25
Tampa,4,89.59
Tulsa,3,38.17
Houston,1,74.30
Lincoln,5,56.19
Irvine,4,64.78
Henderson,2,80.61
Virginia Beach,5,74.55
Fresno,5,56.34
Saint Paul,1,86.66
New Orleans,5,57.12
Anaheim,1,29.98
Indianapolis,4,42.63
Chicago,1,52.97
St. Petersburg,5,28.57
Detroit,1,
Dallas,1,38.11
Austin,3,90.00
San Diego,5,97.13
Stockton,5,43.71
Philadelphia,2,89.16
Minneapolis,3,91.05
Seattle,2,50.52
San Antonio,5,95.89
Phoenix,5,79.33
Wichita,3,88.44
Chula Vista,3,
Honolulu,3,76.89
Newark,1,23.30
Virginia Beach,4,91.62
Lincoln,3,49.11
Chula Vista,4,51.44
Baltimore,3,93.23
Denver,4,94.18
Indianapolis,5,36.12
Riverside,1,38.46
Durham,1,46.95
Minneapolis,4,65.01
St. Louis,1,38.60
St. Petersburg,5,96.64
Laredo,1,59.91
Anaheim,5,21.91
New Orleans,3,83.48
Irvine,3,54.11
Oakland,5,97.26
San Jose,1,88.39
Austin,4,47.19
Anchorage,1,
Cincinnati,4,57.33
St. Petersburg,3,83.42
New Orleans,3,
Memphis,3,50.70
Lexington,4,78.16
Milwaukee,5,
St. Louis,4,29.25
Tulsa,3,22.14
Detroit,2,66.96
Chicago,3,28.65
Indianapolis,5,41.04
Virginia Beach,2,
Seattle,3,72.22
Denver,3,49.96
Corpus Christi,2,89.63
Orlando,2,17.33
Austin,4,11.87
Fort Wayne,2,67.90
Mesa,3,48.81
Anaheim,1,
Portland,1,80.48
Raleigh,4,64.86
Nashville,5,26.79
Irvine,4,45.02
Lincoln,3,15.51
Fort Worth,3,18.09
Atlanta,2,61.76
Cincinnati,4,32.46
Fresno,4,16.25
Dallas,5,57.31
Mesa,4,35.57
Las Vegas,1,10.54
Kansas City,1,94.13
Tampa,2,95.75
Lincoln,1,44.49
Fresno,1,42.12
Austin,2,45.19
Chula Vista,2,
Lexington,5,58.71
Corpus Christi,2,45.09
Dallas,4,57.66
Fresno,4,75.45
Minneapolis,5,62.42
St. Louis,4,64.91
Miami,2,44.83
Atlanta,2,47.69
Fort Wayne,1,94.97
Columbus,5,
El Paso,5,24.71
Durham,3,67.74
Fort Worth,1,59.19
Fort Wayne,3,44.32
Dallas,2,19.82
Seattle,4,30.07
Minneapolis,5,15.75
Kansas City,5,
Austin,5,26.32
New Orleans,1,14.80
Mesa,1,51.80
Corpus Christi,1,61.26
Toledo,3,55.65
Tampa,5,90.67
Raleigh,5,
Austin,2,21.57
Arlington,3,86.35
Aurora,2,45.93
Chula Vista,4,68.82
San Francisco,3,93.00
Saint Paul,5,93.79
Detroit,2,38.67
Columbus,3,86.89
Plano,5,48.88
Louisville,2,20.33
Dallas,5,78.47
Louisville,1,59.01
Fresno,4,38.16
Cincinnati,2,51.89
Pittsburgh,4,96.11
Austin,2,97.80
Seattle,4,80.69
Nashville,5,
Milwaukee,4,48.42
Indianapolis,5,
Fort Worth,5,92.68
San Diego,4,
Fresno,1,83.65
Henderson,2,64.91
Fresno,4,72.12
El Paso,2,18.98
Orlando,3,75.40
Raleigh,5,74.71
Aurora,5,18.39
Las Vegas,3,43.76
Tampa,5,19.57
Anchorage,3,54.80
Albuquerque,4,67.50
Anaheim,2,16.08
Stockton,4,37.09
Lexington,4,50.59
Tampa,5,65.96
Jacksonville,1,62.79
Toledo,5,14.57
Jersey City,1,
Memphis,5,35.05
Jersey City,4,
Fort Wayne,2,43.26
Portland,2,50.82
Toledo,2,85.85
Nashville,2,78.15
Greensboro,2,56.46
Irvine,5,84.13
Omaha,2,35.03
Wichita,2,78.49
Chicago,2,85.18
Boston,5,11.10
Anaheim,1,
Baltimore,3,95.98
Stockton,1,27.42
Memphis,5,95.81
Detroit,3,58.68
Stockton,5,76.92
Riverside,2,11.81
Plano,4,48.52
New Orleans,1,82.78
Phoenix,4,51.18
Cleveland,2,90.79
Omaha,2,27.33
Austin,1,59.48
Albuquerque,5,39.93
Plano,3,71.86
Sacramento,3,95.59
Milwaukee,5,43.11
Charlotte,3,17.15
Portland,2,20.81
San Jose,2,83.25
Houston,2,40.69
Lincoln,5,89.83
Toledo,4,24.83
Milwaukee,3,34.79
Detroit,5,
Kansas City,4,53.10
Dallas,2,73.84
Dallas,4,10.56
Bakersfield,5,83.66
Anaheim,1,61.35
Memphis,4,11.43
Las Vegas,3,53.32
Anaheim,5,
Minneapolis,3,82.07
Minneapolis,4,73.41
Albuquerque,5,76.38
Long Beach,3,85.35
Baltimore,3,
Arlington,5,27.42
Newark,2,21.94
Lexington,2,69.32
Dallas,4,16.60
Bakersfield,4,32.07
Albuquerque,5,33.46
Bakersfield,1,75.45
El Paso,4,36.39
San Francisco,5,53.96
Anchorage,1,54.24
Colorado Springs,4,76.42
Newark,4,86.22
Oklahoma City,3,
Anaheim,4,98.12
Miami,3,66.72
Cleveland,2,43.13
Virginia Beach,5,
Arlington,3,50.16
San Antonio,1,27.07
Saint Paul,2,44.62
Virginia Beach,2,50.69
Lexington,3,
